"FID_","STATEFP10","COUNTYFP10","VTDST10","GEOID10","VTDI10","NAME10","NAMELSAD10","LSAD10","MTFCC10","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10"
,"01","019","0091","010190091","A","New Hope Methodist Church","New Hope Methodist Church","00","G5240","N",50678842.000000,6907439.000000,"+34.2389510","-085.4884458"
,"01","019","0021","010190021","A","Broomtown Volunteer Fire Dept.","Broomtown Volunteer Fire Dept.","00","G5240","N",59348448.000000,0.000000,"+34.3658705","-085.5487221"
,"01","019","0031","010190031","A","Valley Church","Valley Church","00","G5240","N",57424737.000000,0.000000,"+34.3358913","-085.6332478"
,"01","019","0051","010190051","A","Gaylesville Town Hall","Gaylesville Town Hall","00","G5240","N",98571796.000000,2346943.000000,"+34.2886686","-085.5310799"
,"01","019","0011","010190011","A","Friendship Baptist Church/Mt. Calvery Baptist Church","Friendship Baptist Church/Mt. Calvery Baptist Church","00","G5240","N",107454866.000000,20478.000000,"+34.4597219","-085.5262262"
,"01","019","0141","010190141","A","Shady Grove Fellowship Hall","Shady Grove Fellowship Hall","00","G5240","N",44137448.000000,1611294.000000,"+34.1303177","-085.7554221"
,"01","019","0201","010190201","A","Spring Garden Volunteer Fire Dept.","Spring Garden Volunteer Fire Dept.","00","G5240","N",128011124.000000,448756.000000,"+33.9887704","-085.5029051"
,"01","019","0161","010190161","A","Ellisville Volunteer Fire Dept.","Ellisville Volunteer Fire Dept.","00","G5240","N",75700056.000000,49814.000000,"+34.0605325","-085.5663347"
,"01","019","0151","010190151","A","Mt. Weisner Volunteer Fire Dept./Melrose Baptist Church","Mt. Weisner Volunteer Fire Dept./Melrose Baptist Church","00","G5240","N",135355455.000000,1394762.000000,"+34.0714517","-085.6943007"
,"01","019","0191","010190191","A","Goshen United Methodist Church","Goshen United Methodist Church","00","G5240","N",90126120.000000,69024.000000,"+34.0052394","-085.6313905"
,"01","063","1-3-4","010631-3-4","P","Lewiston Comm. Center","Lewiston Comm. Center","00","G5240","S",93381745.000000,30379.000000,"+33.0645381","-087.9583718"
,"01","063","1-6-7","010631-6-7","P","Union City Hall","Union City Hall","00","G5240","S",101580967.000000,103519.000000,"+32.9869010","-087.9094915"
,"01","063","1-5","010631-5","P","Jena Clubhouse","Jena Clubhouse","00","G5240","S",68761264.000000,89644.000000,"+33.0958105","-087.8757100"
,"01","063","1-8","010631-8","P","Montgomery Rec. Center","Montgomery Rec. Center","00","G5240","S",98553745.000000,2538651.000000,"+32.9864492","-087.7902811"
,"01","063","5-6","010635-6","P","Clinton Rec Center","Clinton Rec Center","00","G5240","S",66457813.000000,177735.000000,"+32.9586210","-088.0509900"
